Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
51	ну	ну	PART	_	_	_	_	_	words-ish#@ish1984f#99.439#99.682
52	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#99.682#99.925
53	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#99.925#100.168
54	более	более	ADV	_	Degree=Cmp	_	_	_	words-ish#@ish1984f#100.168#100.411
55	или	или	CCONJ	_	_	_	_	_	words-ish#@ish1984f#100.411#100.654
56	менее	менее	ADV	_	Degree=Cmp	_	_	_	words-ish#@ish1984f#100.654#100.897
57	воспроизведу	воспроизведу	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#100.897#101.146
58	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	words-ish#@ish1984f#163.516#163.86
59	обосрал	обосрать	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#163.86#164.204
60	известного	известный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#164.204#164.548
61	человека	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#164.548#164.892
62	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#164.892#165.236
63	конечно	конечно	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#165.236#165.58
64	хорошо	хорошо	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#167.87#168.178
65	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#168.178#168.486
66	усачева	усачева	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	_	_	_	words-ish#@ish1984f#168.486#168.794
67	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#168.794#169.102
68	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#169.102#169.41
69	смотрел	смотреть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#169.41#169.718
70	обзор	обзор	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#169.718#170.032
71	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#183.677#184.273
72	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#184.273#184.87
73	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#212.591#215.267
74	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#215.323#215.668
75	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#215.668#216.013
76	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#216.013#216.358
77	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#216.358#216.704
78	да	да	PART	_	_	_	_	_	words-ish#@ish1984f#219.591#219.794
79	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	words-ish#@ish1984f#219.794#219.997
80	какой	какой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#219.997#220.2
81	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#220.2#220.403
82	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#220.403#220.606
83	из	из	ADP	_	_	_	_	_	words-ish#@ish1984f#220.606#220.809
84	моей	мой	DET	_	Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#220.809#221.012
85	юности	юность	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#221.012#221.215
86	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#221.215#221.418
87	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#221.418#221.621
88	эти	этот	DET	_	Case=Nom|Number=Plur	_	_	_	words-ish#@ish1984f#221.621#221.824
89	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#221.824#222.027
90	буквы	буква	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	words-ish#@ish1984f#222.027#222.23
91	летали	летать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#222.23#222.433
92	у	у	ADP	_	_	_	_	_	words-ish#@ish1984f#222.433#222.636
93	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#222.636#222.839
94	в	в	ADP	_	_	_	_	_	words-ish#@ish1984f#222.839#223.042
95	windows	windows	X	_	Foreign=Yes	_	_	_	words-ish#@ish1984f#223.042#223.245
96	заставке	заставка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#223.245#223.448
97	прости	простить	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#223.448#223.651
98	господи	господи	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	words-ish#@ish1984f#223.651#223.862
99	телепорт	телепорт	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	words-ish#@ish1984f#227.211#227.62
100	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#227.62#228.029
101	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#228.029#228.438
102	замечательно	замечательный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	words-ish#@ish1984f#228.438#228.847
103	но	но	CCONJ	_	_	_	_	_	words-ish#@ish1984f#228.847#229.256
104	шрифт	шрифть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#229.256#229.665
105	#смешок#	#смешок#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#229.665#230.074
106	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#230.074#230.483
107	всё	все	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#230.483#230.892
108	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#230.892#231.301
109	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#231.301#231.71
110	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#231.71#232.119
111	про...наивная	про...наивный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#232.119#232.528
112	простота	простота	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#232.528#232.937
113	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#232.937#233.346
114	простите	простить	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#233.346#233.755
115	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#233.755#234.164
116	из	из	ADP	_	_	_	_	_	words-ish#@ish1984f#234.164#234.573
117	девяностых	девяностый	ADJ	_	Case=Loc|Degree=Pos|Number=Plur	_	_	_	words-ish#@ish1984f#234.573#235.0
118	Тём	от	PRON	_	Case=Loc|Gender=Masc|Number=Sing|Person=3	_	_	_	words-ish#@ish1984f#235.195#235.431
119	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#235.431#235.667
120	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#235.667#235.903
121	просто	просто	PART	_	_	_	_	_	words-ish#@ish1984f#235.903#236.139
122	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#236.139#236.375
123	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#236.375#236.611
124	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#236.611#236.847
125	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#236.847#237.083
126	отличный	отличный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#237.083#237.319
127	ход	ход	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#237.319#237.555
128	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#237.555#237.791
129	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#237.791#238.027
130	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#238.027#238.263
131	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#238.263#238.499
132	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#238.499#238.735
133	почему	почему	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#238.735#238.971
134	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#238.971#239.207
135	ставят	ставить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#239.207#239.443
136	себе	себя	PRON	_	Case=Dat	_	_	_	words-ish#@ish1984f#239.443#239.679
137	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#239.679#239.915
138	на	на	ADP	_	_	_	_	_	words-ish#@ish1984f#239.915#240.151
139	логотип	логотип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#240.151#240.387
140	ну	ну	PART	_	_	_	_	_	words-ish#@ish1984f#240.387#240.623
141	потому	потому	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#240.623#240.859
142	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#240.859#241.095
143	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#241.095#241.331
144	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#241.331#241.567
145	классно	классно	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#241.567#241.803
146	пропиарились	пропиариться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#241.803#242.048
147	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#242.121#242.482
148	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#242.482#242.843
149	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#242.843#243.204
150	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#243.204#243.565
151	заказали	заказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#243.565#243.926
152	такой	такой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#243.926#244.287
153	ага	ага	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#244.287#244.648
154	эксперимент	эксперимент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#244.648#245.009
155	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#245.009#245.37
156	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#245.37#245.731
157	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#245.731#246.092
158	прислал	прислать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#246.092#246.453
159	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#246.453#246.814
160	троллинговый	троллинговый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#246.814#247.175
161	логотип	логотип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#247.175#247.536
162	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#247.536#247.897
163	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#247.897#248.258
164	обосрали	обосрать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#248.258#248.619
165	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#248.619#248.98
166	пропиарили	пиарить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#248.98#249.341
167	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#249.341#249.702
168	вернули	вернуть	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#249.702#250.063
169	себе	себя	PRON	_	Case=Dat	_	_	_	words-ish#@ish1984f#250.063#250.424
170	деньги	деньги	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	words-ish#@ish1984f#250.424#250.785
171	за	за	ADP	_	_	_	_	_	words-ish#@ish1984f#250.785#251.146
172	счет	счет	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#251.146#251.507
173	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#251.507#251.868
174	хотя	хотя	PART	_	_	_	_	_	words-ish#@ish1984f#251.868#252.229
175	бы	бы	PART	_	_	_	_	_	words-ish#@ish1984f#252.229#252.59
176	просмотров	просмотр	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#252.59#252.951
177	этого	этот	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#252.951#253.312
178	ролика	ролик	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#253.312#253.686
179	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#254.219#254.468
180	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#254.468#254.717
181	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#254.717#254.966
182	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#254.966#255.215
183	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#255.215#255.464
184	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#255.464#255.713
185	которые	который	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#255.713#255.962
186	занимаются	заниматься	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#255.962#256.211
187	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#256.211#256.46
188	у	у	ADP	_	_	_	_	_	words-ish#@ish1984f#256.46#256.709
189	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	_	_	_	words-ish#@ish1984f#256.709#256.958
190	прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#256.958#257.207
191	задача	задача	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#257.207#257.456
192	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#257.456#257.705
193	сделать	делать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-ish#@ish1984f#257.705#257.954
194	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#257.954#258.203
195	прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#258.203#258.452
196	такой	такой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#258.452#258.701
197	треш	треш	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#258.701#258.95
198	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#258.95#259.199
199	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	words-ish#@ish1984f#259.199#259.448
200	его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	_	_	_	words-ish#@ish1984f#259.448#259.697
201	обсуждали	обсуждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#259.697#259.946
202	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#259.946#260.195
203	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#260.195#260.444
204	тогда	тогда	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#260.444#260.693
205	какие	какой	DET	_	Case=Nom|Number=Plur	_	_	_	words-ish#@ish1984f#260.693#260.942
206	к	к	ADP	_	_	_	_	_	words-ish#@ish1984f#260.942#261.191
207	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	_	_	_	words-ish#@ish1984f#261.191#261.44
208	претензии	претензия	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#261.44#261.707
209	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#261.804#261.976
210	тогда	тогда	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#261.976#262.148
211	какие	какой	DET	_	Case=Nom|Number=Plur	_	_	_	words-ish#@ish1984f#262.148#262.32
212	к	к	ADP	_	_	_	_	_	words-ish#@ish1984f#262.32#262.492
213	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	_	_	_	words-ish#@ish1984f#262.492#262.664
214	претензии	претензия	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#262.664#262.836
215	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#262.836#263.008
216	смотрите	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#263.008#263.18
217	какой	какой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#263.18#263.352
218	замечат...	замечат...	PROPN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#263.352#263.524
219	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#263.524#263.696
220	про	про	ADP	_	_	_	_	_	words-ish#@ish1984f#263.696#263.868
221	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#263.868#264.04
222	говорят	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#264.04#264.219
223	яндекс	яндекс	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#274.78#275.528
224	долго	долго	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#275.528#276.276
225	обсуждали	обсуждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#276.276#277.024
226	скажи	скажи	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#290.809#291.077
227	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#291.077#291.345
228	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#291.345#291.613
229	часто	часто	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#291.613#291.881
